Id,Title,Industry,Job type,Company,Salary,Grade,Deadline,days left,email,recruitername,Stage,Interview date,Starting date,applied,Link,Location,Score
1,data-science-researcher-graduate, ,graduate-job,bae-systems,"£34,000 + benefits",2:2,4-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/141?jobID=46429&u=https%253A%252F%252Fwww.baesystems.com%252Fen%252Fcareers%252Fcareers-in-the-uk%252Fgraduates%252Faccelerate%253Futm_source%253Dgradcracker%2526utm_medium%253Dcpc%2526utm_campaign%253Dclass-of-2023-grad-ugrad%2526utm_content%253Djob-listing&signature=e0841cb06cd2be8aac970a97af7b06ad9e793a93128bf78456ed74aa243f57f5,Great Baddow (Hampshire),0
2,software-developer-professional-programme, ,graduate-job,cadent,"£29,000 + benefits",all grades,4-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/hub/843/cadent/graduate-job/52552/software-developer-professional-programme,Coventry (Hybrid),0
3,technology-graduate-scheme-software-developer-engineer, ,graduate-job,halo-service-solutions,"£30,000 + benefits",all grades,31-7-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/1181?jobID=52480&u=https%253A%252F%252Fhaloservicesolutions.com%252Fcareers%252Fapply%252F%2523apply-here&signature=7fcd156baf72000c3e7a064c06a03f3645e3b5ccf26ea2b67454351640abd944,Stowmarket (Suffolk),0
4,graduate-software-test-engineer, ,graduate-job,cambridge-consultants,Competitive + Profit Share + Generous pension + benefits,2:1,30-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/hub/1088/cambridge-consultants/graduate-job/45351/graduate-software-test-engineer,Cambridge,0
5,graduate-sales-and-applications-engineer, ,graduate-job,clearview-imaging,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/922?jobID=40903&u=https%253A%252F%252Fwww.clearview-imaging.com%252Fen%252Fcareers%2523application&signature=786a5f9bf08c3235d747e077a989ac6d4e3e23287d16fd6cc5ac2dbceb78ac81,"Thame, Oxford",0
6,graduate-software-development-engineer, ,graduate-job,nfocus,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/hub/1010/nfocus/graduate-job/42930/graduate-software-development-engineer,London,0
7,junior-data-processing-analyst, ,graduate-job,adelphi,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/1061?jobID=51696&u=https%253A%252F%252Feucareers-omnicomhealthgroup.icims.com%252Fjobs%252F37347%252Fjunior-data-processing-analyst%252Fjob%253Fmode%253Dview&signature=b16b8d9c7711919a0bde04e97df0e21ade36809cde77abb2efca718173b15fc2,Bollington (Cheshire),0
8,modeling-and-simulation-engineer-jan-2024, ,graduate-job,bae-systems,"£34,000 + £2,000 welcome bonus + benefits",all grades,31-7-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/141?jobID=52526&u=https%253A%252F%252Fwww.baesystems.com%252Fen%252Fcareers%252Fcareers-in-the-uk%252Fgraduates%252Faccelerate%253Futm_source%253Dgradcracker%2526utm_medium%253Dcpc%2526utm_campaign%253Dclass-of-2024-jan-grads%2526utm_content%253Djob-listing&signature=8d476a8a6fcd83f7c38d4c205ec021c5b9b63fc205552353ad14f95d7f6d12c5,Warton (Lancashire),0
9,population-health-graduate-analytics-trainees, ,graduate-job,graphnet-health,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/1022?jobID=43639&u=https%253A%252F%252Femployers.sanctuarygraduates.co.uk%252Fgraphnethealth%252Fjob%252Fpopulation-health-graduate-analytics-trainee%252F%253Fref%253DGRADCRACKER&signature=da4e8f6d2b14380df2f3baa3af595126ebbe890d2c5cbc9a3b2ec5ccdf134176,Milton Keynes,0
10,junior-developer, ,graduate-job,reply,Competitive + benefits,2:1,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/691?jobID=52376&u=https%253A%252F%252Fcareer5.successfactors.eu%252Fsfcareer%252Fjobreqcareer%253FjobId%253D9655%2526company%253DC0004534147P&signature=bb3c92a11a231520d2307a10714036d1faf639592c752f782e343f7e27779d6e,Manchester (Hybrid),0
11,kpmg-2023-powered-applications-graduate-programme, ,graduate-job,kpmg,Competitive + benefits,2:2,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/268?jobID=49480&u=https%253A%252F%252Fwww.kpmgcareers.co.uk%252Fgraduate%252Ftechnology-engineering%252Fpowered-applications%252F%253Futm_source%253Dgradcracker%2526utm_medium%253Dmedia-listing%2526utm_content%253Dtech-eng-grad-powered-app_all%2526utm_campaign%253D2216-kpmg-sr23-grad-core_gradcracker_media-listing_tech-eng-grad-powered-app_all_na_na_nov22&signature=12b93e1a1ed6f9ac7af643f91f77de4d1ab764aa00ae521b0994fd7afb961282,,0
12,data-scientist, ,graduate-job,adelphi,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/hub/1061/adelphi/graduate-job/52022/data-scientist,Bollington (Cheshire),0
